Salary,YearsCode,EdLevel,RemoteWork,Is_USA
80953.0,20.0,Masters,Hybrid,0
75184.0,25.0,Bachelors,In-person,0
101910.0,14.0,Masters,In-person,0
83000.0,20.0,Bachelors,In-person,1
123517.0,18.0,Masters,Hybrid,0
150369.0,20.0,Masters,In-person,0
68740.0,15.0,Bachelors,Hybrid,0
81123.0,31.0,Bachelors,Remote,0
110000.0,30.0,Bachelors,Hybrid,1
42564.0,18.0,Masters,Remote,0
95541.0,18.0,Bachelors,Remote,0
90221.0,30.0,Masters,Hybrid,0
207000.0,34.0,Bachelors,Remote,1
25777.0,18.0,Bachelors,Remote,0
124127.0,17.0,Bachelors,Remote,0
82703.0,20.0,Bachelors,Remote,0
29000.0,40.0,Masters,In-person,0
51935.0,8.0,Bachelors,Remote,0
45111.0,7.0,Masters,In-person,0
210000.0,45.0,Bachelors,Remote,1
76000.0,32.0,Bachelors,Remote,0
120000.0,23.0,Bachelors,Remote,1
62296.0,8.0,Masters,Remote,0
26320.0,18.0,Masters,Remote,0
69814.0,8.0,Masters,Hybrid,0
105500.0,18.0,Bachelors,Remote,1
33296.0,10.0,Bachelors,Hybrid,0
103000.0,16.0,Bachelors,Remote,1
33296.0,7.0,Bachelors,Remote,0
60863.0,10.0,Masters,Hybrid,0
98599.0,17.0,Bachelors,Remote,0
43127.0,14.0,Bachelors,Remote,0
49407.0,34.0,Masters,Remote,0
47259.0,14.0,Bachelors,Hybrid,0
145386.0,25.0,Bachelors,Remote,0
120000.0,14.0,Bachelors,Hybrid,1
23375.0,17.0,Bachelors,In-person,0
226000.0,27.0,Bachelors,Remote,1
127000.0,15.0,Masters,Hybrid,1
32954.0,16.0,Masters,Remote,0
54442.0,8.0,Bachelors,Hybrid,0
51555.0,18.0,Masters,Remote,0
38666.0,7.0,Bachelors,Remote,0
97740.0,30.0,Masters,Hybrid,0
56388.0,15.0,Bachelors,Hybrid,0
180000.0,14.0,Bachelors,Remote,1
142000.0,15.0,Bachelors,Hybrid,1
160000.0,31.0,Bachelors,Remote,1
36000.0,7.0,Bachelors,Remote,0
152517.0,20.0,Masters,Remote,0
200000.0,11.0,Bachelors,Remote,1
122913.0,19.0,Bachelors,Remote,0
30074.0,33.0,Bachelors,Remote,0
230000.0,10.0,Masters,Hybrid,1
70063.0,31.0,Bachelors,Hybrid,0
69814.0,17.0,Bachelors,In-person,0
25777.0,40.0,Bachelors,Hybrid,0
42962.0,10.0,Bachelors,Remote,0
30000.0,3.0,Bachelors,Remote,0
55164.0,6.0,Masters,Hybrid,0
26854.0,13.0,Bachelors,Remote,0
121018.0,24.0,Bachelors,Hybrid,0
42962.0,12.0,Masters,Hybrid,0
85925.0,20.0,Masters,Remote,0
48333.0,13.0,Masters,Hybrid,0
33419.0,32.0,Bachelors,Remote,0
41872.0,14.0,Bachelors,Hybrid,0
55000.0,3.0,Bachelors,Remote,1
79201.0,23.0,Masters,In-person,0
130000.0,42.0,Bachelors,Remote,1
104458.0,40.0,Bachelors,In-person,0
110000.0,14.0,Bachelors,Remote,0
53703.0,10.0,Bachelors,Hybrid,0
36365.0,15.0,Bachelors,Remote,0
56925.0,4.0,Masters,Hybrid,0
230000.0,25.0,Bachelors,Remote,1
65271.0,12.0,Bachelors,Hybrid,0
144998.0,35.0,Masters,Remote,0
64444.0,20.0,Masters,Remote,0
105706.0,43.0,Bachelors,Hybrid,0
197000.0,12.0,Masters,Remote,1
32222.0,8.0,Bachelors,Remote,0
112777.0,26.0,Masters,Hybrid,0
177069.0,45.0,Bachelors,Hybrid,0
163000.0,25.0,Bachelors,Remote,1
53205.0,15.0,Masters,Hybrid,0
155000.0,20.0,Masters,Hybrid,1
42640.0,18.0,Bachelors,Hybrid,0
52840.0,22.0,Masters,In-person,1
64341.0,6.0,Bachelors,Hybrid,0
180000.0,20.0,Bachelors,Remote,1
121429.0,13.0,Bachelors,Hybrid,0
91295.0,22.0,Bachelors,Hybrid,0
77000.0,4.0,Bachelors,In-person,1
36779.0,9.0,Masters,In-person,0
57144.0,9.0,Bachelors,Remote,0
145000.0,50.0,Bachelors,In-person,1
63370.0,6.0,Bachelors,Remote,0
120000.0,6.0,Bachelors,Remote,1
142614.0,11.0,Masters,Hybrid,0
139628.0,14.0,Masters,Remote,0
206000.0,19.0,Bachelors,Remote,1
27231.0,7.0,Masters,Remote,0
142000.0,12.0,Bachelors,Remote,1
61866.0,10.0,Bachelors,Remote,0
72000.0,20.0,Bachelors,Remote,0
69814.0,13.0,Bachelors,Hybrid,0
190000.0,20.0,Masters,Remote,1
74239.0,20.0,Masters,Remote,0
56710.0,18.0,Masters,Remote,0
161905.0,12.0,Masters,Hybrid,0
145000.0,15.0,Bachelors,Remote,1
56925.0,22.0,Bachelors,In-person,0
76307.0,15.0,Masters,Hybrid,0
175000.0,33.0,Bachelors,Remote,1
119221.0,14.0,Bachelors,Remote,0
85925.0,18.0,Masters,Hybrid,0
180000.0,35.0,Masters,Remote,1
80555.0,20.0,Bachelors,Hybrid,0
43000.0,7.0,Masters,Remote,0
57325.0,8.0,Masters,Remote,0
79189.0,16.0,Bachelors,Hybrid,0
250000.0,11.0,Masters,Remote,1
50885.0,38.0,Bachelors,Hybrid,0
85000.0,3.0,Bachelors,In-person,1
125000.0,14.0,Masters,Remote,1
146381.0,23.0,Bachelors,Remote,0
38666.0,15.0,Masters,Remote,0
89108.0,40.0,Masters,Remote,0
135000.0,35.0,Bachelors,Remote,1
25193.0,9.0,Masters,In-person,0
96666.0,24.0,Bachelors,Hybrid,0
57230.0,7.0,Masters,Hybrid,0
82802.0,35.0,Masters,Remote,0
32222.0,8.0,Masters,Hybrid,0
169000.0,37.0,Bachelors,Hybrid,1
53703.0,22.0,Masters,Hybrid,0
